[04 maj 2018 at 01:04:20 CEST] - ::players 
[11 maj 2018 at 09:49:03 CEST] - ::tele 0,38,53,5,30
[11 maj 2018 at 09:49:06 CEST] - ::tele 0,38,53,5,23
[11 maj 2018 at 09:49:07 CEST] - ::tele 0,38,53,6,23
[11 maj 2018 at 11:32:49 CEST] - ::tele 0,44,53,37,37
[11 maj 2018 at 01:26:47 CEST] - ::tele 0,43,53,57,46
[11 maj 2018 at 01:27:54 CEST] - ::tele 0,51,50,3,28
[11 maj 2018 at 01:36:00 CEST] - ::tele 0,50,49,37,8
[11 maj 2018 at 01:36:06 CEST] - ::tele 0,50,49,39,0
[11 maj 2018 at 01:36:08 CEST] - ::tele 0,50,49,40,0
[11 maj 2018 at 01:40:20 CEST] - ::tele 0,50,50,61,41
[11 maj 2018 at 01:40:21 CEST] - ::tele 0,50,50,57,56
[11 maj 2018 at 01:40:22 CEST] - ::tele 0,50,51,56,3
[11 maj 2018 at 01:44:27 CEST] - ::tele 0,46,52,2,44
[11 maj 2018 at 03:31:58 CEST] - ::tele 0,49,54,27,15
[11 maj 2018 at 03:31:59 CEST] - ::tele 0,49,54,32,8
[11 maj 2018 at 03:31:59 CEST] - ::tele 0,49,53,40,63
[11 maj 2018 at 03:32:00 CEST] - ::tele 0,49,53,47,49
[11 maj 2018 at 03:46:43 CEST] - ::tele 0,49,52,56,32
[11 maj 2018 at 03:53:22 CEST] - ::tele 0,49,52,54,38
[11 maj 2018 at 04:14:12 CEST] - ::tele 0,49,52,50,52
[11 maj 2018 at 04:14:13 CEST] - ::tele 0,49,53,45,5
[11 maj 2018 at 04:14:14 CEST] - ::tele 0,49,53,41,23
[11 maj 2018 at 04:14:15 CEST] - ::tele 0,49,53,44,36
[11 maj 2018 at 04:14:17 CEST] - ::tele 0,49,53,34,51
[11 maj 2018 at 04:14:18 CEST] - ::tele 0,49,53,20,61
[11 maj 2018 at 04:14:20 CEST] - ::tele 0,49,54,5,0
[11 maj 2018 at 04:14:22 CEST] - ::tele 0,48,54,55,1
[11 maj 2018 at 04:14:23 CEST] - ::tele 0,48,53,43,57
[11 maj 2018 at 04:20:12 CEST] - ::tele 0,49,52,51,52
[11 maj 2018 at 04:20:13 CEST] - ::tele 0,49,53,47,5
[11 maj 2018 at 04:20:13 CEST] - ::tele 0,49,53,43,22
[11 maj 2018 at 04:20:15 CEST] - ::tele 0,49,53,39,39
[11 maj 2018 at 04:20:16 CEST] - ::tele 0,49,53,33,54
[11 maj 2018 at 04:20:17 CEST] - ::tele 0,49,53,21,63
[11 maj 2018 at 04:20:19 CEST] - ::tele 0,49,53,4,63
[11 maj 2018 at 04:20:21 CEST] - ::tele 0,48,54,52,0
[11 maj 2018 at 04:20:22 CEST] - ::tele 0,48,53,43,57
[11 maj 2018 at 04:22:07 CEST] - ::tele 0,49,52,50,50
[11 maj 2018 at 04:22:08 CEST] - ::tele 0,49,53,45,1
[11 maj 2018 at 04:22:08 CEST] - ::tele 0,49,53,37,17
[11 maj 2018 at 04:22:10 CEST] - ::tele 0,49,53,28,32
[11 maj 2018 at 04:22:11 CEST] - ::tele 0,49,53,19,47
[11 maj 2018 at 04:22:12 CEST] - ::tele 0,49,53,7,59
[11 maj 2018 at 04:22:14 CEST] - ::tele 0,48,53,57,61
[11 maj 2018 at 04:22:14 CEST] - ::tele 0,48,53,43,61
[12 May 2018 at 08:28:24 PDT] - ::trade nils
[13 May 2018 at 09:51:49 PDT] - ::teletome zesh
[13 May 2018 at 09:52:26 PDT] - ::teletome zesh
[13 May 2018 at 09:55:34 PDT] - ::tele 0,53,53,62,42
[13 May 2018 at 10:25:50 PDT] - ::teletome zesh
[13 May 2018 at 10:26:58 PDT] - ::teletome zesh
[13 May 2018 at 10:28:42 PDT] - ::tele 0,46,48,52,40
[13 May 2018 at 10:28:49 PDT] - ::tele 0,46,48,52,42
[13 May 2018 at 10:28:52 PDT] - ::teletome zesh
[13 May 2018 at 10:30:33 PDT] - ::tele 0,29,81,52,35
[13 May 2018 at 10:30:44 PDT] - ::tele 0,31,81,36,31
[13 May 2018 at 10:30:53 PDT] - ::tele 0,33,82,34,30
[13 May 2018 at 10:31:01 PDT] - ::tele 0,36,81,37,30
[13 May 2018 at 10:33:46 PDT] - ::tele 0,45,55,32,10
[13 May 2018 at 10:34:34 PDT] - ::tele 0,46,48,50,43
[13 maj 2018 at 02:41:16 CEST] - ::tele 0,46,50,14,23
[13 maj 2018 at 02:42:16 CEST] - ::tele 0,48,53,8,33
[13 maj 2018 at 02:43:32 CEST] - ::tele 0,29,81,16,55
[13 maj 2018 at 02:43:35 CEST] - ::tele 0,29,81,26,51
[13 maj 2018 at 02:44:20 CEST] - ::tele 0,29,81,27,35
[13 maj 2018 at 02:44:21 CEST] - ::tele 0,29,81,30,20
